dataset	cancer type	gene1	gene2	SMG1	SMG2	co/me	cooc	me1	me2	none	test	p (min)	p (max)	fdr (min)	fdr (max)	conf score	reported previously
dkfz	PAN	NCAM1	PCDHA8	FALSE	FALSE	co	3	1	3	792	both	9.60E-05	0.000163	0.065555556	0.096666667	1	
dkfz	PAN	PCDHA8	ZNF721	FALSE	FALSE	co	3	3	2	791	both	3.20E-05	5.90E-05	0.011666667	0.041666667	1	
dkfz	PAN	PIK3CA	TP53	TRUE	TRUE	me	2	12	77	738	wesme	0.019	0.0241	0.082	0.121333333	1	
target	AML	CEBPA	CSF3R	TRUE	TRUE	co	3	6	3	195	wesme	0.00253	0.0029	0.014444444	0.016666667	1	*
target	AML	CEBPA	WT1	TRUE	TRUE	co	5	4	17	181	wesme	0.00289	0.00337	0.014444444	0.016666667	1	*
target	AML	FLT3	IDH2	TRUE	TRUE	co	3	15	2	187	wesme	0.0102	0.0125	0.044166667	0.075	1	*
target	AML	FLT3	KIT	TRUE	TRUE	me	0	18	20	136	both	0.0699	0.08957791	0.1125	0.196666667	1	*
target	AML	IDH2	NPM1	TRUE	TRUE	co	3	2	5	197	wesme	0.00087	0.00103	0.013333333	0.015555556	1	*
target	AML	KIT	NRAS	TRUE	TRUE	me	1	19	36	118	both	0.0242	0.042663957	0.045	0.061666667	1	*
target	AML	KIT	WT1	TRUE	TRUE	me	0	20	22	132	both	0.0372	0.051604948	0.05	0.084444444	1	*
target	AML	NRAS	WT1	TRUE	TRUE	me	1	36	21	116	both	0.0151	0.027432973	0.045	0.061666667	1	
target	B-ALL	CRLF2	NRAS	TRUE	TRUE	me	0	15	104	546	both	0.0156	0.035017965	0.127777778	0.164444444	1	
target	B-ALL	FLT3	KRAS	TRUE	TRUE	me	1	39	95	530	both	0.00043	0.002599997	0.01	0.02	1	*
target	B-ALL	KRAS	TP53	TRUE	TRUE	me	0	96	22	547	both	0.00368	0.010722989	0.03	0.055	1	
target	B-ALL	PXDN	ZNF582	FALSE	FALSE	co	3	2	1	659	perm	2.00E-06	2.00E-06	0.01	0.01	1	
target	T-ALL	MAGI1	NOTCH1	FALSE	TRUE	me	0	3	194	68	perm	0.012045988	0.012045988	0.14	0.14	1	
target	T-ALL	DNM2	USP7	TRUE	TRUE	me	0	29	30	206	both	0.0102	0.0123	0.098	0.160666667	1	*
target	T-ALL	FBXW7	JAK3	TRUE	TRUE	me	1	61	20	183	both	0.00733	0.009162991	0.0725	0.1275	1	*
target	T-ALL	FBXW7	PTEN	TRUE	TRUE	me	3	59	35	168	both	0.00122	0.002118998	0.05	0.086666667	1	*
target	T-ALL	JAK1	JAK3	TRUE	TRUE	co	7	1	14	243	both	0	1.00E-05	0	0.006666667	1	*
target	T-ALL	JAK3	PTEN	TRUE	TRUE	me	0	21	38	207	wesme	0.0127	0.0177	0.136666667	0.17	1	*
target	T-ALL	JAK3	STAT5B	TRUE	TRUE	co	6	15	4	241	wesme	3.00E-05	0.00011	0.001666667	0.008333333	1	*
target	T-ALL	NOTCH1	USP7	TRUE	TRUE	me	19	175	11	61	wesme	0.021	0.0265	0.158666667	0.171481481	1	
target	T-ALL	NRAS	WT1	TRUE	TRUE	co	7	13	17	229	wesme	0.00197	0.0027	0.081111111	0.113333333	1	*
target	T-ALL	PHF6	PIK3R1	TRUE	TRUE	me	0	46	15	205	wesme	0.0239	0.0288	0.158666667	0.179090909	1	
target	T-ALL	PHF6	PTEN	TRUE	TRUE	me	3	43	35	185	wesme	0.0194	0.0254	0.158666667	0.171481481	1	
target	T-ALL	PHF6	USP7	TRUE	TRUE	me	1	45	29	190	both	0.00557	0.006869993	0.0725	0.1275	1	*
target	T-ALL	PTEN	WT1	TRUE	TRUE	me	0	38	24	203	both	0.0079	0.009097991	0.0725	0.1275	1	*
target	T-ALL	USP7	WT1	TRUE	TRUE	me	0	30	24	212	wesme	0.0199	0.026	0.158666667	0.171481481	1	
target	WT	CTNNB1	EFCAB6	TRUE	FALSE	co	3	3	0	86	both	9.20E-05	0.00033	0	0.01	1	
target	WT	DROSHA	TP53	TRUE	TRUE	me	0	8	23	84	wesme	0.065	0.073	0.086666667	0.103333333	1	
target	PAN	DNM2	USP7	TRUE	TRUE	me	0	31	32	1569	wesme	0.01	0.0127	0	0.02	1	*
target	PAN	FBXW7	JAK3	TRUE	TRUE	me	1	62	24	1525	perm	0.011380989	0.011380989	0.136	0.136	1	*
target	PAN	FBXW7	PTEN	TRUE	TRUE	me	3	60	39	1510	both	0.00124	0.002806997	0.036666667	0.12	1	*
target	PAN	FLT3	JAK2	TRUE	TRUE	me	0	63	39	1530	wesme	0.0187	0.0217	0.152222222	0.196666667	1	
target	PAN	FLT3	KRAS	TRUE	TRUE	me	3	60	119	1430	both	0.00217	0.008361992	0.036666667	0.123333333	1	*
target	PAN	JAK1	JAK3	TRUE	TRUE	co	7	10	18	1577	both	0	1.00E-06	0.083333333	0.14	1	*
target	PAN	KRAS	TP53	TRUE	TRUE	me	1	121	66	1444	wesme	0.0191	0.0222	0.152222222	0.196666667	1	
target	PAN	PHF6	PTEN	TRUE	TRUE	me	3	48	39	1542	wesme	0.018	0.0254	0.152222222	0.2	1	
target	PAN	PHF6	USP7	TRUE	TRUE	me	1	50	31	1530	perm	0.008510991	0.008510991	0.123333333	0.123333333	1	*
target	PAN	PTEN	WT1	TRUE	TRUE	me	0	42	52	1518	both	0.00741	0.010789989	0.095555556	0.16	1	*
target	PAN	PXDN	ZNF582	FALSE	FALSE	co	3	7	1	1601	perm	4.00E-06	4.00E-06	0.163333333	0.163333333	1	
